timestamp,altitude_ft,airspeed_kts,roll_angle_deg,flap_lever_position,left_flap_angle_deg,right_flap_angle_deg,green_hydraulic_pressure_psi,autopilot_status,ptu_status,right_flap_sensor_normal_output_deg,right_flap_sensor_faulty_output_deg,left_flap_sensor_faulty_output_deg,asymmetry_sensor_delta_deg,vertical_g_force,left_flap_motor_current,cabin_altitude_ft,rate_of_climb_fpm,engine_1_vibration_n1,engine_1_egt_degc,ecam_alerts
0.0,0,0.0,0.10630922781638395,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-0.0,0.10012908732574831,450.0,[]
1.0,0,14.0,0.08040134008905153,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1349516831888589,450.0,[]
2.0,0,28.0,0.024699408799336908,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10039187901197849,450.0,[]
3.0,0,42.0,-0.133576897145394,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10146451668727996,450.0,[]
4.0,0,56.0,0.04247771942574732,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12877929246637976,450.0,[]
5.0,0,70.0,-0.1867199492815205,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.13644826658478504,450.0,[]
6.0,2500,84.0,0.0682185075582111,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11546222126353087,450.0,[]
7.0,5000,98.0,0.14471926578595115,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10970678247496497,450.0,[]
8.0,7500,112.0,-0.03118310894941543,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.13691624979609618,450.0,[]
9.0,10000,126.0,0.036359247711640695,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08257958369261914,450.0,[]
10.0,12500,140.0,0.16084431053671222,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.1065186164521108,450.0,[]
11.0,15000,154.0,0.018723311699654344,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.1192591186931839,450.0,[]
12.0,17500,168.0,0.16377543980301293,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10105699618254428,450.0,[]
13.0,20000,182.0,-0.05311135156926277,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.1254232557982803,450.0,[]
14.0,22500,196.0,-0.03777790017458004,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09659486214080597,450.0,[]
15.0,25000,210.0,-0.09097392068738613,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08237180797197398,450.0,[]
16.0,27500,224.0,-0.04513616380814,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09401923024092429,450.0,[]
17.0,30000,238.0,-0.011622528581770965,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07400301417818646,450.0,[]
18.0,32500,252.0,0.07711204376387358,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.0961521794928767,450.0,[]
19.0,35000,266.0,-0.122222395419475,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08743066513016319,450.0,[]
20.0,35000,280.0,0.055019810772692725,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1007204197057683,450.0,[]
21.0,35000,280.0,0.05084378285538615,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09638468279132113,450.0,[]
22.0,35000,280.0,0.17218722104738884,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09393866511162728,450.0,[]
23.0,35000,280.0,0.038974219692518526,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09426517393054182,450.0,[]
24.0,35000,280.0,0.089175998843543,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09584859429771046,450.0,[]
25.0,35000,280.0,0.007076270045592647,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10128972828226014,450.0,[]
26.0,35000,280.0,0.016743658693777985,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11099851785575035,450.0,[]
27.0,35000,280.0,0.16490715967878625,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07774824025351024,450.0,[]
28.0,35000,280.0,0.022133725445553004,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09691464545574012,450.0,[]
29.0,35000,280.0,0.018412938951242627,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09565605537760129,450.0,[]
30.0,35000,280.0,0.022937025141362043,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08763743536758568,450.0,[]
31.0,35000,280.0,-0.036806038194655034,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12105821797193952,450.0,[]
32.0,35000,280.0,0.16882524396975004,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0831314619369718,450.0,[]
33.0,35000,280.0,-0.22654707925331882,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07797533451874407,450.0,[]
34.0,35000,280.0,0.02817798032795167,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08665223207267747,450.0,[]
35.0,35000,280.0,0.08111173207416184,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08779716884039356,450.0,[]
36.0,35000,280.0,-0.06378518173455817,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07984590695659059,450.0,[]
37.0,35000,280.0,-0.010634349309161998,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11677694595560738,450.0,[]
38.0,35000,280.0,-0.16415557329209482,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09958315060939855,450.0,[]
39.0,35000,280.0,-0.18220653327505246,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.13170940007793014,450.0,[]
40.0,35000,280.0,0.04777012134115484,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.071505781484435,450.0,[]
41.0,35000,280.0,0.0770509070716004,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11857837477429968,450.0,[]
42.0,35000,280.0,-0.16507062025354116,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07536093064960851,450.0,[]
43.0,35000,280.0,-0.16846090686233262,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09590871407731492,450.0,[]
44.0,35000,280.0,0.020592216359343322,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08409062497472443,450.0,[]
45.0,35000,280.0,0.1456436114558058,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09164138664092415,450.0,[]
46.0,35000,280.0,0.014964155091464721,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08004493139667757,450.0,[]
47.0,35000,280.0,-0.010123232883858814,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10859898994180914,450.0,[]
48.0,35000,280.0,0.04033184497229858,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10666354293890712,450.0,[]
49.0,35000,280.0,-0.14746250108155498,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08669224343706718,450.0,[]
