timestamp,altitude_ft,airspeed_kts,roll_angle_deg,flap_lever_position,left_flap_angle_deg,right_flap_angle_deg,green_hydraulic_pressure_psi,autopilot_status,ptu_status,right_flap_sensor_normal_output_deg,right_flap_sensor_faulty_output_deg,left_flap_sensor_faulty_output_deg,asymmetry_sensor_delta_deg,vertical_g_force,left_flap_motor_current,cabin_altitude_ft,rate_of_climb_fpm,engine_1_vibration_n1,engine_1_egt_degc,ecam_alerts
0.0,0,0.0,0.19564026130633064,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-0.0,0.10006839524120165,450.0,[]
1.0,0,14.0,0.08573366148927154,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10812944769502442,450.0,[]
2.0,0,28.0,0.15317160608301597,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.13126794367746886,450.0,[]
3.0,0,42.0,-0.012264069992923177,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09984737023888024,450.0,[]
4.0,0,56.0,-0.05120560802666433,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10986725882393242,450.0,[]
5.0,0,70.0,0.12826629884214455,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12584820731991303,450.0,[]
6.0,2500,84.0,-0.040387231822524246,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11441507390742875,450.0,[]
7.0,5000,98.0,-0.05909225870351577,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08234186855212124,450.0,[]
8.0,7500,112.0,0.06866083799729897,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09511261217390252,450.0,[]
9.0,10000,126.0,-0.02833318763840414,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08739394859767553,450.0,[]
10.0,12500,140.0,-0.0292807037518751,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09183730246705707,450.0,[]
11.0,15000,154.0,0.1259119477058746,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.12320753934749887,450.0,[]
12.0,17500,168.0,-0.005695142735482504,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10323146289456035,450.0,[]
13.0,20000,182.0,-0.004640844126832094,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11639984516151335,450.0,[]
14.0,22500,196.0,-0.01897388527428935,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09567561914302848,450.0,[]
15.0,25000,210.0,-0.09076213920917146,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09058439602499481,450.0,[]
16.0,27500,224.0,-0.0378914678557159,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.13414818690404326,450.0,[]
17.0,30000,238.0,0.08159993876642649,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07122659846182143,450.0,[]
18.0,32500,252.0,0.13238830964855672,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10334097358790971,450.0,[]
19.0,35000,266.0,-0.009398939227409446,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10336634772052451,450.0,[]
20.0,35000,280.0,-0.039507549455250736,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12127984127000854,450.0,[]
21.0,35000,280.0,-0.013137741004900106,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09561734058095399,450.0,[]
22.0,35000,280.0,-0.16723981068250415,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08077049417746673,450.0,[]
23.0,35000,280.0,0.0865747691316336,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10748639618357973,450.0,[]
24.0,35000,280.0,-0.11433981354694665,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12420979605896557,450.0,[]
