timestamp,altitude_ft,airspeed_kts,roll_angle_deg,flap_lever_position,left_flap_angle_deg,right_flap_angle_deg,green_hydraulic_pressure_psi,autopilot_status,ptu_status,right_flap_sensor_normal_output_deg,right_flap_sensor_faulty_output_deg,left_flap_sensor_faulty_output_deg,asymmetry_sensor_delta_deg,vertical_g_force,left_flap_motor_current,cabin_altitude_ft,rate_of_climb_fpm,engine_1_vibration_n1,engine_1_egt_degc,ecam_alerts
0.0,0,0.0,-0.09170568280674715,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-0.0,0.11725335710013365,450.0,[]
1.0,0,14.0,0.1562864177474784,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10791041133311419,450.0,[]
2.0,0,28.0,0.11293912582091965,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.13494513786678125,450.0,[]
3.0,0,42.0,-0.03833178153121852,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12481605722115502,450.0,[]
4.0,0,56.0,-0.06550742010094186,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0855244792343561,450.0,[]
5.0,0,70.0,-0.04329250309994167,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.05586918063932586,450.0,[]
6.0,2500,84.0,-0.0189996279635016,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08615373118611752,450.0,[]
7.0,5000,98.0,-0.07863092262364979,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.12249740983544476,450.0,[]
8.0,7500,112.0,-0.03676670590885452,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08782904396883333,450.0,[]
9.0,10000,126.0,-0.0602168827936663,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07028636051574268,450.0,[]
10.0,12500,140.0,-0.15175127732786647,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09229115149171019,450.0,[]
11.0,15000,154.0,0.1016320144859688,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.1391816070588685,450.0,[]
12.0,17500,168.0,0.017334029541179623,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.1140568961074986,450.0,[]
13.0,20000,182.0,-0.0026889849994756673,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11902253918770331,450.0,[]
14.0,22500,196.0,-0.06496696415506457,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09977126314687691,450.0,[]
15.0,25000,210.0,0.08915467465249673,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11210633401199895,450.0,[]
16.0,27500,224.0,0.055224864198882506,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09051009447704901,450.0,[]
17.0,30000,238.0,0.29031183297996765,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08133417000273394,450.0,[]
18.0,32500,252.0,0.19389415494327614,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09820217363260826,450.0,[]
19.0,35000,266.0,-0.13743215792419525,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.13083520549125136,450.0,[]
20.0,35000,280.0,0.04378123640115483,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11405713623316692,450.0,[]
21.0,35000,280.0,-0.036585439874612886,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0994218597345312,450.0,[]
22.0,35000,280.0,0.11418917651040833,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09152039609261062,450.0,[]
23.0,35000,280.0,-0.08646844817941314,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1003524018496524,450.0,[]
24.0,35000,280.0,-0.03783032287922459,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11335601500597961,450.0,[]
25.0,35000,280.0,-0.05289567342419752,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07335655342844072,450.0,[]
26.0,35000,280.0,-0.014864035903125598,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07504892304110744,450.0,[]
27.0,35000,280.0,-0.166688328666274,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0733012728355677,450.0,[]
28.0,35000,280.0,0.004765667739005053,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11680927679855005,450.0,[]
