timestamp,altitude_ft,airspeed_kts,roll_angle_deg,flap_lever_position,left_flap_angle_deg,right_flap_angle_deg,green_hydraulic_pressure_psi,autopilot_status,ptu_status,right_flap_sensor_normal_output_deg,right_flap_sensor_faulty_output_deg,left_flap_sensor_faulty_output_deg,asymmetry_sensor_delta_deg,vertical_g_force,left_flap_motor_current,cabin_altitude_ft,rate_of_climb_fpm,engine_1_vibration_n1,engine_1_egt_degc,ecam_alerts
0,0,0,-0.09736014228820565,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-0.0,0.1042180864412974,450.0,[]
1,0,14,0.062102669554943646,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09322658686594247,450.0,[]
2,0,28,0.05972420371372794,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07859593259612702,450.0,[]
3,0,42,-0.137362058504805,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.109221677461354,450.0,[]
4,0,56,-0.002724375639435062,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08395094310414332,450.0,[]
5,0,70,0.02469672693125115,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07531793918868973,450.0,[]
6,2500,84,-0.02753443229888708,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07854236444823257,450.0,[]
7,5000,98,0.06588885936925697,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.12280335102798327,450.0,[]
8,7500,112,0.21320964311408674,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.13474856116491404,450.0,[]
9,10000,126,-0.18153472701787876,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08162778564321291,450.0,[]
10,12500,140,0.10212076142459897,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.12226794648676591,450.0,[]
11,15000,154,0.022034369468975384,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.0827251680435385,450.0,[]
12,17500,168,-0.013022506498880185,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10037388532269,450.0,[]
13,20000,182,0.01967507072899613,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.1448723347820845,450.0,[]
14,22500,196,-0.15943274057342222,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08318633182953299,450.0,[]
15,25000,210,-0.0010722621623023623,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09328607323541488,450.0,[]
16,27500,224,0.08370413050783462,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09785261335172106,450.0,[]
17,30000,238,-0.0004994177886441587,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09081246348050956,450.0,[]
18,32500,252,0.031487657663286005,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09848617778506254,450.0,[]
19,35000,266,-0.1448651557112252,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.0852604458278853,450.0,[]
20,35000,280,0.02032926089000723,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07086954662771844,450.0,[]
21,35000,280,-0.09265873929830404,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0997644694402244,450.0,[]
