timestamp,altitude_ft,airspeed_kts,roll_angle_deg,flap_lever_position,left_flap_angle_deg,right_flap_angle_deg,green_hydraulic_pressure_psi,autopilot_status,ptu_status,right_flap_sensor_normal_output_deg,right_flap_sensor_faulty_output_deg,left_flap_sensor_faulty_output_deg,asymmetry_sensor_delta_deg,vertical_g_force,left_flap_motor_current,cabin_altitude_ft,rate_of_climb_fpm,engine_1_vibration_n1,engine_1_egt_degc,ecam_alerts
0,0,0,-0.07632306462693253,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-0.0,0.10560662157665825,450.0,[]
1,0,14,0.10527140001092766,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09190026906506035,450.0,[]
2,0,28,0.03229305818970581,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09820553427801838,450.0,[]
3,0,42,0.0006699157744495792,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11207045176025617,450.0,[]
4,0,56,-0.06301795724723507,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08697143718909853,450.0,[]
5,0,70,-0.09756209925160428,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10170319087794494,450.0,[]
6,2500,84,-0.14110576428223068,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09799415895005949,450.0,[]
7,5000,98,-0.009740591695558411,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.06075868800816806,450.0,[]
8,7500,112,0.11272166281793122,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08456798450872749,450.0,[]
9,10000,126,0.0552951613973139,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09700415122651639,450.0,[]
10,12500,140,0.05458634381686914,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09161074708717759,450.0,[]
11,15000,154,-0.2294113688003332,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10371961640295262,450.0,[]
12,17500,168,0.16439829933783967,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11463006557243272,450.0,[]
13,20000,182,-0.07033326292625613,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09981961954946686,450.0,[]
14,22500,196,0.003526817133349998,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08786717793545054,450.0,[]
15,25000,210,0.050788063259875386,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10748886109082835,450.0,[]
16,27500,224,0.14469660716639363,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08124602769815006,450.0,[]
17,30000,238,0.029368640740069882,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.0756623799342826,450.0,[]
18,32500,252,-0.04234838222922676,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09145990795835307,450.0,[]
19,35000,266,-0.030822558760436658,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07755393841642041,450.0,[]
20,35000,280,0.10123241680110864,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08377014633502508,450.0,[]
21,35000,280,-0.08194056353650864,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11213699538133726,450.0,[]
22,35000,280,0.03095530019168087,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09580261675555708,450.0,[]
23,35000,280,-0.1009106194168325,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.05559328564331027,450.0,[]
24,35000,280,-0.1385925257025906,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.06159554586351994,450.0,[]
25,35000,280,0.09048128546381204,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09340942260548518,450.0,[]
26,35000,280,-0.05031397035276151,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0886243631086446,450.0,[]
27,35000,280,-0.0179887422888711,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.04726906981176803,450.0,[]
28,35000,280,0.15241769010560327,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09151953367066347,450.0,[]
29,35000,280,-0.018670853553221102,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09524761311719152,450.0,[]
30,35000,280,0.1921057081776765,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10071811072063663,450.0,[]
31,35000,280,0.11639489808776858,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09555701613322111,450.0,[]
32,35000,280,-0.007425345125236892,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12463540172510837,450.0,[]
33,35000,280,-0.03580667640128185,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09720149546069977,450.0,[]
34,35000,280,-0.12291222595681595,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09896047745373418,450.0,[]
35,35000,280,0.022985140099001444,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12663078876370604,450.0,[]
36,35000,280,0.0688414494176853,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10183906813872075,450.0,[]
37,35000,280,-0.16116478803434842,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0923489112959717,450.0,[]
38,35000,280,0.034378269787319976,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0978377360314149,450.0,[]
39,35000,280,0.08473251067628376,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11567197838327252,450.0,[]
40,35000,280,0.004207394212559191,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11367118671627807,450.0,[]
41,35000,280,-0.1530570811409162,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0862368746218919,450.0,[]
42,35000,280,0.0802504802732855,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09768509964784948,450.0,[]
43,35000,280,-0.10021094212084242,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1187525310653205,450.0,[]
44,35000,280,-0.17066719293313828,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11298393175794241,450.0,[]
45,35000,280,0.027026969057952044,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09086693485958253,450.0,[]
46,35000,280,0.1276547802004724,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09068843305611864,450.0,[]
47,35000,280,-0.05077525901034505,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09675546524033234,450.0,[]
48,35000,280,-0.064632122504353,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.101469750452629,450.0,"['HYD G SYS LO PR', 'F/CTL SLAT/FLAP SLOW']"
49,35000,280,-0.05455424494628158,0,0.0,0.0,2900.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.06595507816825881,450.0,[]
50,35000,280,-0.05248375107392991,0,0.0,0.0,2800.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1257356352993383,450.0,[]
