timestamp,altitude_ft,airspeed_kts,roll_angle_deg,flap_lever_position,left_flap_angle_deg,right_flap_angle_deg,green_hydraulic_pressure_psi,autopilot_status,ptu_status,right_flap_sensor_normal_output_deg,right_flap_sensor_faulty_output_deg,left_flap_sensor_faulty_output_deg,asymmetry_sensor_delta_deg,vertical_g_force,left_flap_motor_current,cabin_altitude_ft,rate_of_climb_fpm,engine_1_vibration_n1,engine_1_egt_degc,ecam_alerts
0,0,0,-0.12223377953653758,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-0.0,0.10196094351058202,450.0,[]
1,0,14,0.08319155463979809,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.14553581539011815,450.0,[]
2,0,28,-0.0704983585344081,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10570557966589457,450.0,[]
3,0,42,-0.018468097609310175,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.06791767205950741,450.0,[]
4,0,56,0.21504726650279582,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08802201185238592,450.0,[]
5,0,70,-0.15397064021072068,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1044772758857435,450.0,[]
6,2500,84,-0.014971562455054278,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10461676262436148,450.0,[]
7,5000,98,-0.16351004593409948,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.13742472820237195,450.0,[]
8,7500,112,-0.0022159398133982755,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08901320179157235,450.0,[]
9,10000,126,-0.061399835297774125,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.12772413272056826,450.0,[]
10,12500,140,-0.06306439574271408,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.13648822267843436,450.0,[]
11,15000,154,-0.21614592951814676,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.0865733249948902,450.0,[]
12,17500,168,-0.01301864781221928,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09386251715378241,450.0,[]
13,20000,182,0.0896416742519195,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.0754922516024187,450.0,[]
14,22500,196,0.015479376707291862,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11841420740534059,450.0,[]
15,25000,210,-0.10846322285832627,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.12288225782224144,450.0,[]
16,27500,224,-0.12386426391030032,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09239589535366247,450.0,[]
17,30000,238,-0.13763640952011247,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.12960072087086044,450.0,[]
18,32500,252,0.14864893573919452,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.06117539633004035,450.0,[]
19,35000,266,-0.08720104288873143,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09461227625179063,450.0,[]
20,35000,280,-0.09609845393034616,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10614319361231375,450.0,[]
21,35000,280,-0.18551123947024917,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09910675995424681,450.0,[]
22,35000,280,0.08046624205181947,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.13726016798223256,450.0,[]
23,35000,280,0.0029238031682020183,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08526554632010215,450.0,[]
24,35000,280,-0.1260459912484833,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11769995877527212,450.0,[]
25,35000,280,0.02289471401288109,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.13094196189872315,450.0,[]
26,35000,280,-0.000643682199142201,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07769216761452055,450.0,[]
27,35000,280,-0.13538598765901785,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09179442026512907,450.0,[]
28,35000,280,-0.15208163040466272,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.045039068306481765,450.0,[]
29,35000,280,-0.06867807832632658,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07703519985747824,450.0,[]
30,35000,280,0.017902829248594248,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08127192094183092,450.0,[]
31,35000,280,0.06903558279623793,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10957524264746339,450.0,[]
32,35000,280,-0.11944670530257934,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09375880697617628,450.0,[]
33,35000,280,0.0779977686043326,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08616677260083314,450.0,[]
34,35000,280,0.014752704949886886,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11521172453138583,450.0,[]
35,35000,280,-0.08121185759839872,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11707775061778886,450.0,[]
36,35000,280,-0.11498789663293714,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08448499700777037,450.0,[]
37,35000,280,0.028124461832976056,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.13041777254384262,450.0,[]
38,35000,280,0.032252956375530405,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08786711461097173,450.0,[]
39,35000,280,-0.26783444645275384,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10620467852201115,450.0,[]
40,35000,280,0.21191011194086418,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.05343964767495849,450.0,[]
41,35000,280,0.0689511756654899,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1222541839606939,450.0,[]
42,35000,280,-0.015483988396157009,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0784331681728404,450.0,[]
43,35000,280,-0.1199931697358178,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0671717227560001,450.0,[]
44,35000,280,0.09227939711342298,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10102667763555381,450.0,[]
