timestamp,altitude_ft,airspeed_kts,roll_angle_deg,flap_lever_position,left_flap_angle_deg,right_flap_angle_deg,green_hydraulic_pressure_psi,autopilot_status,ptu_status,right_flap_sensor_normal_output_deg,right_flap_sensor_faulty_output_deg,left_flap_sensor_faulty_output_deg,asymmetry_sensor_delta_deg,vertical_g_force,left_flap_motor_current,cabin_altitude_ft,rate_of_climb_fpm,engine_1_vibration_n1,engine_1_egt_degc,ecam_alerts
0,0,0,0.1650173540298101,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-0.0,0.0793965295246101,450.0,[]
1,0,14,0.04560019310239091,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1196017016440823,450.0,[]
2,0,28,0.059195407450380745,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08560629572174189,450.0,[]
3,0,42,-0.02378747114478655,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11572740818072144,450.0,[]
4,0,56,-0.017480841601392568,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07620457111855869,450.0,[]
5,0,70,0.04334458524157282,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11766221474383753,450.0,[]
6,2500,84,0.08634583385541764,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.06742749886753718,450.0,[]
7,5000,98,0.050618586878238836,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.106762844604446,450.0,[]
8,7500,112,0.017903907187807856,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.06582630183307664,450.0,[]
9,10000,126,0.09319203159932478,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09998575493180656,450.0,[]
10,12500,140,-0.06595449659477982,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.0833758436595734,450.0,[]
11,15000,154,-0.033735217498675175,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.0854257341260968,450.0,[]
12,17500,168,0.05256865526064968,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10473014530100928,450.0,[]
13,20000,182,0.03334203051605938,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.14733189188238904,450.0,[]
14,22500,196,0.07248081726052175,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10568135635059699,450.0,[]
15,25000,210,0.17204779082915767,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08325502852480884,450.0,[]
16,27500,224,0.062369441637779854,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07070906044843148,450.0,[]
17,30000,238,-0.1321077634635326,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08571351748916807,450.0,[]
18,32500,252,-0.03269920173790786,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08790567681614354,450.0,[]
19,35000,266,0.11026149050960204,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08003276176519475,450.0,[]
20,35000,280,-0.030004526067308863,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09787977384922193,450.0,[]
21,35000,280,-0.06626307316224193,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11763107987008536,450.0,[]
22,35000,280,-0.19239378816464522,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10489345640967744,450.0,[]
23,35000,280,0.11478978044539595,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0836364466968055,450.0,[]
24,35000,280,0.1906008563097077,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12268626365235794,450.0,[]
25,35000,280,0.023975152958617553,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08246636883174754,450.0,[]
26,35000,280,0.0999473319722922,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.15256281953372414,450.0,[]
27,35000,280,0.058936139654864085,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10902479298012265,450.0,[]
28,35000,280,-0.014726459588337444,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1371616464726738,450.0,[]
29,35000,280,0.13750633340737026,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12206846941543417,450.0,[]
30,35000,280,-0.03886969387410817,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09208377807953776,450.0,[]
31,35000,280,-0.0030610616188296506,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0874884218429264,450.0,[]
32,35000,280,-0.09563852713540391,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08765953046755699,450.0,[]
33,35000,280,-0.09030033691775524,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10710400539497686,450.0,[]
34,35000,280,-0.08081791395501593,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12354858054016496,450.0,[]
35,35000,280,0.084675496803125,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07978242850157982,450.0,[]
36,35000,280,0.08895400261675264,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10608810349626654,450.0,[]
37,35000,280,0.020280500650064315,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09973485370037402,450.0,[]
38,35000,280,0.150010972254705,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08536661613029956,450.0,[]
39,35000,280,0.036331886706119774,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10313226496884928,450.0,[]
40,35000,280,0.06308005606309687,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11142752079343861,450.0,[]
41,35000,280,-0.17015736762402206,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11036764413104762,450.0,[]
42,35000,280,0.0793512593305143,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11180783391131778,450.0,[]
43,35000,280,-0.04709286140868506,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09872672129273732,450.0,[]
44,35000,280,0.024609218997524007,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1220166013668712,450.0,[]
45,35000,280,0.04738909855116649,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11469277279452716,450.0,[]
46,35000,280,0.0872987765848555,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07068779554422792,450.0,[]
47,35000,280,-0.00938200431359981,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11331604605657426,450.0,[]
48,35000,280,0.023881503037895872,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08198785707252647,450.0,[]
49,35000,280,-0.004880059699777544,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07265172697434158,450.0,[]
50,35000,280,0.13930083618110609,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11690549180290889,450.0,[]
51,35000,280,-0.22669118977589547,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08406083834734984,450.0,[]
52,35000,280,0.01060292565911079,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0837924156635109,450.0,[]
