timestamp,altitude_ft,airspeed_kts,roll_angle_deg,flap_lever_position,left_flap_angle_deg,right_flap_angle_deg,green_hydraulic_pressure_psi,autopilot_status,ptu_status,right_flap_sensor_normal_output_deg,right_flap_sensor_faulty_output_deg,left_flap_sensor_faulty_output_deg,asymmetry_sensor_delta_deg,vertical_g_force,left_flap_motor_current,cabin_altitude_ft,rate_of_climb_fpm,engine_1_vibration_n1,engine_1_egt_degc,ecam_alerts
0,0,0,-0.03964495144260257,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-0.0,0.08412120846280756,450.0,[]
1,0,14,-0.12001900323646103,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10670857693186499,450.0,[]
2,0,28,-0.006186315410670537,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08985714999771544,450.0,[]
3,0,42,0.1184920651159293,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10133532742742367,450.0,[]
4,0,56,0.08102146322372575,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09601518703942531,450.0,[]
5,0,70,-0.04019524543987574,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1392608616587445,450.0,[]
6,2500,84,0.08009867032461802,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07363305249087242,450.0,[]
7,5000,98,-0.037724866941033164,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.0911709189822179,450.0,[]
8,7500,112,0.13939171505907752,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.14577278666676277,450.0,[]
9,10000,126,0.12621875731792362,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07267497138908528,450.0,[]
10,12500,140,0.03648861981156286,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10248908352987438,450.0,[]
11,15000,154,0.14860284341078006,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09147835201981905,450.0,[]
12,17500,168,-0.035857609391439275,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.13191829232313138,450.0,[]
13,20000,182,-0.06098789197660712,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.0978934008037108,450.0,[]
14,22500,196,-0.22899388426483658,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11799424613189091,450.0,[]
15,25000,210,0.07477011314411758,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07230741122030376,450.0,[]
16,27500,224,0.02428931399365629,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08043390712137939,450.0,[]
17,30000,238,0.019815199753628877,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11803209684897688,450.0,[]
18,32500,252,-0.07818305719171093,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11415936428747876,450.0,[]
19,35000,266,-0.10596624601882194,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09438236154734034,450.0,[]
20,35000,280,-0.11242186470044349,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09077053398610171,450.0,[]
21,35000,280,-0.028478545556297197,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11182381914680392,450.0,[]
22,35000,280,0.09584214786405477,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10214366599316078,450.0,[]
23,35000,280,-0.04065460934724824,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11812282578161197,450.0,[]
24,35000,280,0.14768077678529865,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1075896068015778,450.0,[]
25,35000,280,-0.08329489111024528,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11671173460231374,450.0,[]
26,35000,280,0.025980917538910117,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11183675382445249,450.0,[]
27,35000,280,0.05958366802309942,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10108232132624816,450.0,[]
28,35000,280,-0.08953224695136186,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12948495511437816,450.0,[]
29,35000,280,-0.0007881527281938706,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08524367140983076,450.0,[]
30,35000,280,0.002812162084349653,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08674862623561541,450.0,[]
