timestamp,altitude_ft,airspeed_kts,roll_angle_deg,flap_lever_position,left_flap_angle_deg,right_flap_angle_deg,green_hydraulic_pressure_psi,autopilot_status,ptu_status,right_flap_sensor_normal_output_deg,right_flap_sensor_faulty_output_deg,left_flap_sensor_faulty_output_deg,asymmetry_sensor_delta_deg,vertical_g_force,left_flap_motor_current,cabin_altitude_ft,rate_of_climb_fpm,engine_1_vibration_n1,engine_1_egt_degc,ecam_alerts
0,0,0,0.00693808377703639,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-0.0,0.12097606346503269,450.0,[]
1,0,14,-0.11511042928491214,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09296877612127595,450.0,[]
2,0,28,0.10874242518414859,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07899988445287341,450.0,[]
3,0,42,0.08113834964345526,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07815956170909284,450.0,[]
4,0,56,0.1723808181552676,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.06487482240308044,450.0,[]
5,0,70,0.059694649285572166,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12469354524159754,450.0,[]
6,2500,84,-0.049370214624357915,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.12674067002733136,450.0,[]
7,5000,98,0.11469536825576386,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07263619035934213,450.0,[]
8,7500,112,0.14634291129831722,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.13407526239574746,450.0,[]
9,10000,126,-0.059966748429181926,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10763789991709281,450.0,[]
10,12500,140,-0.08422213350802249,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07023552708176214,450.0,[]
11,15000,154,-0.06290488181712305,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11515022272502914,450.0,[]
12,17500,168,0.18775416312748164,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09970996071046023,450.0,[]
13,20000,182,-0.02449571170474263,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08535381655220595,450.0,[]
14,22500,196,0.04271225814081658,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.0753193401592413,450.0,[]
15,25000,210,0.041253600090259836,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11550171905661645,450.0,[]
16,27500,224,-0.0365468251267433,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08122988426883253,450.0,[]
17,30000,238,0.0500704061706119,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.1188299982173151,450.0,[]
18,32500,252,-0.015195388745692904,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.0864584530396154,450.0,[]
19,35000,266,0.05659224021296912,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08067659498431233,450.0,[]
20,35000,280,-0.01858814644361917,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07174143972168207,450.0,[]
21,35000,280,-0.10798658765612167,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09707882733592238,450.0,[]
22,35000,280,-0.15940442024047363,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12361282897054869,450.0,[]
23,35000,280,0.014526275274610756,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08385308760147787,450.0,[]
24,35000,280,0.02128393991452114,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10918704043594447,450.0,[]
25,35000,280,-0.040005953155872465,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10199410961600096,450.0,[]
26,35000,280,-0.021439093619179478,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11112455083138426,450.0,[]
27,35000,280,-0.12730311976792785,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09334132962032297,450.0,[]
28,35000,280,0.17294679268058666,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09454669827060608,450.0,[]
29,35000,280,0.15633093905640094,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09643532407007911,450.0,[]
30,35000,280,0.09133343683514739,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1140066612787177,450.0,[]
31,35000,280,-0.11069118823725894,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10716729951601514,450.0,[]
32,35000,280,0.02119876574381078,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08211318850769928,450.0,[]
33,35000,280,-0.15743314510177842,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08552121281055249,450.0,[]
34,35000,280,-0.04267737329895055,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.06269126222693508,450.0,[]
35,35000,280,0.02743948533911615,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09025963606281819,450.0,[]
36,35000,280,0.10663263861269426,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0881643554197217,450.0,[]
37,35000,280,0.10457293284065511,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10162227151681102,450.0,[]
38,35000,280,0.10846597074008604,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09632647282875789,450.0,[]
39,35000,280,-0.03881546813769284,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.141524348979636,450.0,[]
40,35000,280,-0.180335663834618,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09879024673860189,450.0,[]
41,35000,280,-0.020455762900761894,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10489168849736592,450.0,[]
42,35000,280,-0.09125031821518147,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11080030076173703,450.0,[]
43,35000,280,-0.18421282529328542,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10261407338006015,450.0,[]
44,35000,280,-0.019697108171170277,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07030226033369658,450.0,[]
45,35000,280,-0.038752864738060895,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12228167113539504,450.0,[]
46,35000,280,0.07867256146224683,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10012514820081052,450.0,[]
47,35000,280,-0.11178002726315184,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11966426092714406,450.0,[]
48,35000,280,0.1230753621398691,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12835099028904176,450.0,[]
49,35000,280,-0.08454135521983189,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12021847205981315,450.0,[]
50,35000,280,0.09154330275008857,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09642724713146511,450.0,[]
51,35000,280,0.0381551601099625,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10977874349678556,450.0,[]
52,35000,280,0.09991550937785887,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12031904174433398,450.0,[]
53,35000,280,-0.11392156149666065,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08047538537956733,450.0,[]
54,35000,280,0.2854075683640993,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.06737864020164705,450.0,[]
55,35000,280,0.06344418675905687,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.13234166890782162,450.0,[]
56,35000,280,-0.23168909793678122,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07796698254236337,450.0,[]
57,35000,280,-0.06264150759415778,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08314159576149519,450.0,[]
58,35000,280,-0.07123223949242517,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07856082177096792,450.0,[]
59,35000,280,-0.2661124314025569,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08523438476108144,450.0,[]
60,35000,280,-0.15234539640380343,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09237299118947068,450.0,[]
61,35000,280,-0.20164730194452593,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07255150655744028,450.0,[]
62,35000,280,-0.17648766412818379,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09747495707639889,450.0,[]
63,35000,280,0.13194349023158222,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10495935760149228,450.0,[]
64,35000,280,0.01572156907266686,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.06883901876602536,450.0,[]
65,35000,280,-0.009162621555121741,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1172196134471832,450.0,[]
66,35000,280,-0.11266212899991067,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08779832516439054,450.0,[]
67,35000,280,0.004663904542993882,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08846469814705342,450.0,[]
68,35000,280,-0.06774878148890051,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12603146505638968,450.0,[]
69,35000,280,-0.11569930049069764,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12545937856038927,450.0,[]
70,35000,280,-0.0193136793600058,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.13208471161865076,450.0,[]
71,35000,280,-0.08523042879970588,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1012027254312496,450.0,[]
72,35000,280,0.08232599833435075,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10791447224642534,450.0,[]
73,35000,280,-0.024621042682838032,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09106410674773514,450.0,[]
74,35000,280,0.04365604613567066,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10394981340377031,450.0,[]
75,35000,280,-0.03284798822132507,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08117195520045792,450.0,[]
76,35000,280,0.03430179126521156,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09739923114828397,450.0,[]
77,35000,280,-0.015842741423698906,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10199322289077618,450.0,[]
78,35000,280,0.07701292578695865,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09293608222379253,450.0,[]
79,35000,280,-0.08342828116876924,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10790812615412691,450.0,[]
80,35000,280,-0.11945394020737501,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10545406811683876,450.0,[]
81,35000,280,-0.0031109918252925388,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10396220067119111,450.0,[]
82,35000,280,-0.04899620303080383,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12346897413477942,450.0,[]
83,35000,280,-0.004441865661175554,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08045756486141892,450.0,[]
84,35000,280,0.07797584302067073,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09747186076362394,450.0,[]
85,35000,280,0.09192824888140275,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08503802655302092,450.0,[]
86,35000,280,-0.052989305754519045,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10867454047585451,450.0,[]
87,35000,280,0.11728502916339643,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10606553396829807,450.0,[]
88,35000,280,-0.13671456145679894,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08874913251896141,450.0,[]
89,35000,280,-0.18016164069412713,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09961288776942044,450.0,[]
90,35000,280,0.04961136240153056,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08211648865404321,450.0,[]
91,33970,276,0.007444731289363563,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-61800.0,0.09492347476088898,450.0,[]
92,32941,272,-0.0463886241281322,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-61740.0,0.10534428913750976,450.0,[]
93,31911,268,-0.10177883548420047,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-61800.0,0.10119893385683987,450.0,[]
94,30882,264,0.11900399255583197,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-61740.0,0.1248378727836962,450.0,[]
95,29852,260,-0.05055111088351101,1,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-61800.0,0.1317118314391753,450.0,['OVERSPEED']
96,28823,256,0.10734436294620556,1,2.0,2.0,3000.0,1,0,2.0,2.0,2.0,0.0,1.0,10.0,8000.0,-61740.0,0.08349142296194759,450.0,[]
97,27794,252,-0.009405146135178828,1,4.0,4.0,3000.0,1,0,4.0,4.0,4.0,0.0,1.0,10.0,8000.0,-61740.0,0.11513648984487249,450.0,[]
98,26764,248,-0.2746236303612794,1,6.0,6.0,3000.0,1,0,6.0,6.0,6.0,0.0,1.0,10.0,8000.0,-61800.0,0.10079088935723092,450.0,[]
99,25735,244,0.06449996984369209,1,8.0,8.0,3000.0,1,0,8.0,8.0,8.0,0.0,1.0,10.0,8000.0,-61740.0,0.09014159504075175,450.0,[]
100,24705,240,0.10747950297305434,2,8.0,8.0,3000.0,1,0,8.0,8.0,8.0,0.0,1.0,10.0,8000.0,-61800.0,0.10761860121705144,450.0,[]
101,23676,236,-0.0819133256564829,2,9.4,9.4,3000.0,1,0,9.4,9.4,9.4,0.0,1.0,10.0,8000.0,-61740.0,0.09888478390549504,450.0,[]
102,22647,232,-0.09023510490028014,2,10.8,10.8,3000.0,1,0,10.8,10.8,10.8,0.0,1.0,10.0,8000.0,-61740.0,0.0704669098687602,450.0,[]
103,21617,228,-0.03440656154808386,2,12.2,12.2,3000.0,1,0,12.2,12.2,12.2,0.0,1.0,10.0,8000.0,-61800.0,0.11239288015558069,450.0,[]
104,20588,224,-0.05603775956821268,2,13.6,13.6,3000.0,1,0,13.6,13.6,13.6,0.0,1.0,10.0,8000.0,-61740.0,0.08495616342711503,450.0,[]
105,19558,220,0.09556360119144239,3,13.6,13.6,3000.0,1,0,13.6,13.6,13.6,0.0,1.0,10.0,8000.0,-61800.0,0.13435413376191085,450.0,[]
106,18529,216,-0.12852248575726707,3,15.28,15.28,3000.0,1,0,15.28,15.28,15.28,0.0,1.0,10.0,8000.0,-61740.0,0.13751144106619143,450.0,[]
107,17500,212,0.03552115786714762,3,16.96,16.96,3000.0,1,0,16.96,16.96,16.96,0.0,1.0,10.0,8000.0,-61740.0,0.053157515993951646,450.0,[]
108,16470,208,0.1942449996378666,3,18.64,18.64,3000.0,1,0,18.64,18.64,18.64,0.0,1.0,10.0,8000.0,-61800.0,0.10467699533736396,450.0,[]
109,15441,204,-0.04397663609133284,3,20.32,20.32,3000.0,1,0,20.32,20.32,20.32,0.0,1.0,10.0,8000.0,-61740.0,0.08762845628685599,450.0,[]
110,14411,200,-0.08980134169795971,4,20.32,20.32,3000.0,1,0,20.32,20.32,20.32,0.0,1.0,10.0,8000.0,-61800.0,0.11929377690412053,450.0,[]
111,13382,196,-0.12903100676173807,4,20.988,20.988,3000.0,1,0,20.988,20.988,20.988,0.0,1.0,10.0,8000.0,-61740.0,0.07824493600248685,450.0,[]
112,12352,192,-0.003918310444667636,4,21.656,21.656,3000.0,1,0,21.656,21.656,21.656,0.0,1.0,10.0,8000.0,-61800.0,0.1094693733859047,450.0,[]
113,11323,188,0.046373756706383676,4,22.323999999999998,22.323999999999998,3000.0,1,0,22.323999999999998,22.323999999999998,22.323999999999998,0.0,1.0,10.0,8000.0,-61740.0,0.13069333729029917,450.0,[]
114,10294,184,-0.023969533118796738,4,22.992,22.992,3000.0,1,0,22.992,22.992,22.992,0.0,1.0,10.0,8000.0,-61740.0,0.10535836014550606,450.0,[]
115,9264,180,-0.14511943863535057,4,23.66,23.66,3000.0,1,0,23.66,23.66,23.66,0.0,1.0,10.0,8000.0,-61800.0,0.09395274695561016,450.0,[]
116,8235,176,0.06549991595960371,4,24.328,24.328,3000.0,1,0,24.328,24.328,24.328,0.0,1.0,10.0,8000.0,-61740.0,0.10062200752869177,450.0,[]
117,7205,172,-0.008041788973543412,4,24.996,24.996,3000.0,1,0,24.996,24.996,24.996,0.0,1.0,10.0,8000.0,-61800.0,0.11161772555588975,450.0,[]
118,6176,168,-0.0027389353809102453,4,25.664,25.664,3000.0,1,0,25.664,25.664,25.664,0.0,1.0,10.0,8000.0,-61740.0,0.07560071189048967,450.0,[]
119,5147,164,-0.02614296191369141,4,26.332,26.332,3000.0,1,0,26.332,26.332,26.332,0.0,1.0,10.0,8000.0,-61740.0,0.06294598825870512,450.0,[]
